Sales_Tran_Seq_Num,Member_Account_Seq_Num,Article_Seq_Num,Article_Desc
0,51,0,Banana
0,51,16,Apple
1,36,0,Banana
1,36,16,Apple
1,36,5,Pineapple
1,36,10,Ham
1,36,13,Pizza Cheese
1,36,15,Mozarella
1,36,23,Croutons
1,36,24,Lettuce
2,10,0,Banana
3,11,22,Chicken
3,11,23,Croutons
4,39,0,Banana
5,32,0,Banana
5,32,4,Olives
5,32,11,Prosciutto
5,32,14,Parmesan
6,13,0,Banana
6,13,11,Prosciutto
6,13,12,Pizza Kit
6,13,14,Parmesan
6,13,22,Chicken
6,13,24,Lettuce
7,43,0,Banana
7,43,16,Apple
7,43,27,Mushroom
8,77,0,Banana
8,77,16,Apple
9,67,0,Banana
9,67,28,Squid
9,67,29,Crab stick
10,34,0,Banana
10,34,4,Olives
10,34,20,Ruccola
10,34,27,Mushroom
11,60,0,Banana
11,60,26,Entrecote
12,63,0,Banana
13,38,0,Banana
13,38,4,Olives
13,38,10,Ham
13,38,12,Pizza Kit
13,38,14,Parmesan
14,46,0,Banana
15,20,0,Banana
15,20,22,Chicken
15,20,23,Croutons
15,20,24,Lettuce
15,20,26,Entrecote
15,20,27,Mushroom
16,81,0,Banana
16,81,16,Apple
17,10,0,Banana
17,10,16,Apple
17,10,10,Ham
17,10,11,Prosciutto
17,10,14,Parmesan
18,81,0,Banana
18,81,20,Ruccola
19,99,0,Banana
19,99,5,Pineapple
19,99,12,Pizza Kit
19,99,13,Pizza Cheese
20,6,0,Banana
20,6,5,Pineapple
20,6,10,Ham
20,6,12,Pizza Kit
20,6,15,Mozarella
20,6,4,Olives
20,6,19,Feta
21,70,0,Banana
21,70,5,Pineapple
21,70,10,Ham
21,70,13,Pizza Cheese
21,70,1,Onion
21,70,3,Corn
21,70,6,Taco Spice Mix
21,70,7,Taco Shell
21,70,8,Taco Salsa
21,70,9,Minced Meat
22,25,0,Banana
23,76,20,Ruccola
23,76,21,Tomato
24,40,0,Banana
24,40,16,Apple
24,40,23,Croutons
24,40,24,Lettuce
24,40,29,Crab stick
24,40,30,Shrimp
25,91,4,Olives
25,91,11,Prosciutto
25,91,12,Pizza Kit
25,91,15,Mozarella
26,2,0,Banana
26,2,28,Squid
26,2,29,Crab stick
27,39,0,Banana
27,39,3,Corn
27,39,6,Taco Spice Mix
27,39,17,Taco Tortilla
27,39,9,Minced Meat
28,30,0,Banana
28,30,28,Squid
28,30,29,Crab stick
28,30,30,Shrimp
29,24,0,Banana
30,23,0,Banana
30,23,30,Shrimp
33,66,0,Banana
33,66,16,Apple
33,66,1,Onion
33,66,3,Corn
33,66,6,Taco Spice Mix
33,66,8,Taco Salsa
33,66,9,Minced Meat
33,66,28,Squid
33,66,30,Shrimp
34,27,0,Banana
35,54,0,Banana
35,54,16,Apple
36,86,0,Banana
37,45,25,Penne
37,45,27,Mushroom
38,11,0,Banana
38,11,22,Chicken
38,11,23,Croutons
38,11,28,Squid
38,11,29,Crab stick
39,74,0,Banana
40,71,0,Banana
40,71,28,Squid
40,71,29,Crab stick
40,71,30,Shrimp
41,46,16,Apple
41,46,1,Onion
41,46,3,Corn
41,46,6,Taco Spice Mix
41,46,7,Taco Shell
41,46,8,Taco Salsa
41,46,9,Minced Meat
41,46,29,Crab stick
41,46,30,Shrimp
42,87,4,Olives
42,87,11,Prosciutto
42,87,12,Pizza Kit
42,87,14,Parmesan
42,87,15,Mozarella
42,87,25,Penne
42,87,26,Entrecote
42,87,27,Mushroom
43,7,0,Banana
43,7,29,Crab stick
43,7,30,Shrimp
44,45,0,Banana
44,45,4,Olives
44,45,11,Prosciutto
44,45,12,Pizza Kit
44,45,22,Chicken
45,41,0,Banana
45,41,4,Olives
45,41,12,Pizza Kit
46,65,5,Pineapple
46,65,12,Pizza Kit
46,65,13,Pizza Cheese
46,65,15,Mozarella
46,65,22,Chicken
46,65,23,Croutons
46,65,24,Lettuce
48,92,0,Banana
49,58,0,Banana
49,58,20,Ruccola
49,58,21,Tomato
50,15,5,Pineapple
50,15,10,Ham
50,15,12,Pizza Kit
51,70,0,Banana
51,70,22,Chicken
51,70,23,Croutons
51,70,24,Lettuce
52,29,17,Taco Tortilla
52,29,8,Taco Salsa
52,29,9,Minced Meat
52,29,23,Croutons
52,29,24,Lettuce
53,73,5,Pineapple
54,13,0,Banana
54,13,5,Pineapple
54,13,12,Pizza Kit
54,13,13,Pizza Cheese
